Nº,Project,MethodName,#Assrtions,#Conditions,#TryCatch,#Loop,#Throws,#Statements,#Tokens,#Hamcrest,#Mockito,#BadApi,#LOC,#Expressions,#Depth,#Vocabulary,#Understandability,#BodySize,#Dexterity,#NonWhiteCharacters
13640,jfreechart-1.5.0,StatisticsTest.testCalculateMedian,8,0,4,0,0,20,227,0,0,0,85,121,8,16,1069,172,12,878
13641,jfreechart-1.5.0,LogAxisTest.testAutoRange3,4,0,0,0,0,15,175,0,0,0,46,98,7,23,761,125,9,971
13642,jfreechart-1.5.0,OHLCSeriesTest.testSerialization,1,0,0,0,0,4,50,0,0,0,13,30,7,10,224,39,9,233
13643,jfreechart-1.5.0,CategoryPlotTest.testGetDomainAxisForDataset,6,0,1,0,0,20,239,0,0,0,67,132,10,29,1170,189,11,1043
13644,jfreechart-1.5.0,MonthTest.testGetFirstMillisecondWithTimeZone,2,0,1,0,0,7,80,0,0,0,28,45,9,16,364,67,10,406
13645,jfreechart-1.5.0,StatisticalBarRendererTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,239
13646,jfreechart-1.5.0,PlumNeedleTest.testSerialization,1,0,0,0,0,3,33,0,0,1,10,21,7,9,156,28,9,197
13647,jfreechart-1.5.0,PieChartTest.testReplaceDatasetOnPieChart,2,0,0,0,0,6,58,0,0,0,19,37,8,14,259,47,11,378
13648,jfreechart-1.5.0,TimeSeriesTest.testFindValueRange2,12,0,0,0,0,26,414,0,0,0,79,240,8,31,1914,287,9,1527
13649,jfreechart-1.5.0,QuarterTest.testQ4Y9999Previous,1,0,0,0,0,2,25,0,0,0,7,18,8,7,131,21,9,199
13650,jfreechart-1.5.0,RangeTest.testEquals,5,0,0,0,0,11,112,0,0,3,34,67,8,9,483,87,11,365
13651,jfreechart-1.5.0,StatisticalBarRendererTest.testPublicCloneable,1,0,0,0,0,2,17,0,0,0,7,12,7,6,93,16,9,181
13652,jfreechart-1.5.0,WeekTest.testGetStart,1,0,0,0,0,8,95,0,0,0,25,58,7,18,395,71,9,341
13653,jfreechart-1.5.0,TimeSeriesTest.testFindValueRange3,9,0,0,0,0,23,371,0,0,0,70,214,7,31,1666,260,9,1324
13654,jfreechart-1.5.0,TimeSeriesTest.testAdd_TimeSeriesDataItem,2,0,0,0,0,6,74,0,0,2,19,44,8,14,315,56,9,411
13655,jfreechart-1.5.0,DayTest.testGetStart,1,0,0,0,0,8,97,0,0,0,25,59,7,18,403,72,9,342
13656,jfreechart-1.5.0,CategoryPlotTest.testSetRenderer,1,0,0,0,0,7,62,0,0,1,22,37,7,16,268,51,9,405
13657,jfreechart-1.5.0,StandardXYSeriesLabelGeneratorTest.testGenerateLabel,2,0,0,0,0,6,69,0,0,0,19,40,7,10,281,52,9,382
13658,jfreechart-1.5.0,DefaultKeyedValuesTest.testGetIndex,3,0,1,0,0,10,113,0,0,0,37,61,8,13,475,87,10,428
13659,jfreechart-1.5.0,LongNeedleTest.testCloning,3,0,0,0,1,5,54,0,0,3,16,35,7,10,240,43,9,241
13660,jfreechart-1.5.0,BarChartTest.testReplaceDataset,3,0,0,0,0,11,180,0,0,0,34,104,10,28,856,140,12,753
13661,jfreechart-1.5.0,LegendItemEntityTest.testEquals,11,0,0,0,0,23,254,0,0,11,70,149,9,16,1173,182,9,887
13662,jfreechart-1.5.0,LineUtilsTest.testClipLine,26,0,0,0,0,40,549,0,0,0,121,311,8,13,2738,355,8,1678
13663,jfreechart-1.5.0,DefaultKeyedValuesTest.testGetItemCount,4,0,0,0,0,8,78,0,0,0,25,44,7,8,281,53,9,304
13664,jfreechart-1.5.0,LegendGraphicTest.testHashcode,2,0,0,0,0,6,87,0,0,1,19,51,9,15,399,67,9,350
13665,jfreechart-1.5.0,VectorSeriesTest.testAdditionOfDuplicateXValues,5,0,0,0,0,11,146,0,0,0,34,83,7,8,571,95,9,540
13666,jfreechart-1.5.0,DayTest.testEquals,1,0,0,0,0,3,42,0,0,1,10,27,7,9,197,34,9,176
13667,jfreechart-1.5.0,WaterfallBarRendererTest.testCloning,5,0,0,0,1,9,92,0,0,5,28,59,7,14,392,71,9,404
13668,jfreechart-1.5.0,DateAxisTest.testSetRange,2,0,0,0,0,10,107,0,0,0,31,63,7,20,444,83,9,415
13669,jfreechart-1.5.0,OutlierTest.testCloning,1,0,0,0,0,2,22,0,0,0,7,15,7,6,114,19,9,144
13670,jfreechart-1.5.0,XYBlockRendererTest.testFindDomainBounds,4,0,0,0,0,12,109,0,0,0,37,63,7,20,454,84,10,510
13671,jfreechart-1.5.0,XYSplineRendererTest.testHashcode,2,0,0,0,0,6,53,0,0,1,19,29,7,11,219,43,9,262
13672,jfreechart-1.5.0,PaintMapTest.testCloning,2,0,0,0,1,7,85,0,0,0,22,53,7,14,380,65,11,309
13673,jfreechart-1.5.0,XIntervalSeriesCollectionTest.testPublicCloneable,1,0,0,0,0,2,17,0,0,0,7,13,7,6,106,16,9,195
13674,jfreechart-1.5.0,CombinedDomainCategoryPlotTest.testNotification,2,0,0,0,0,12,143,0,0,0,37,86,8,32,639,113,11,648
13675,jfreechart-1.5.0,DefaultIntervalXYDatasetTest.testGetSeriesCount,2,0,0,0,0,4,38,0,0,0,13,23,7,7,148,28,10,233
13676,jfreechart-1.5.0,WaterfallChartTest.testSetSeriesURLGenerator,1,0,0,0,0,6,61,0,0,1,19,38,8,16,280,52,9,413
13677,jfreechart-1.5.0,CategoryPointerAnnotationTest.testPublicCloneable,1,0,0,0,0,2,26,0,0,0,7,18,7,8,136,22,9,212
13678,jfreechart-1.5.0,ItemLabelAnchorTest.testEquals,2,0,0,0,0,2,30,0,0,2,7,23,7,8,145,23,7,194
13679,jfreechart-1.5.0,DefaultIntervalXYDatasetTest.testGetEndXValue,6,0,0,0,0,7,105,0,0,0,22,61,6,8,394,68,9,406
13680,jfreechart-1.5.0,MultiplePiePlotTest.testConstructor,2,0,0,0,0,5,45,0,0,0,16,27,7,10,192,37,11,269
13681,jfreechart-1.5.0,TickUnitsTest.testCloning,3,0,0,0,1,6,71,0,0,3,19,44,8,13,309,55,9,294
13682,jfreechart-1.5.0,TaskTest.testCloning,3,0,0,0,1,5,67,0,0,3,16,42,8,11,301,52,9,244
13683,jfreechart-1.5.0,XYErrorRendererTest.testFindRangeBounds,1,0,0,0,0,2,20,0,0,0,7,13,7,6,94,16,9,158
13684,jfreechart-1.5.0,MarkerTest.testGetSetLabelOffset,5,0,1,0,0,8,123,0,0,0,35,68,8,15,503,88,14,525
13685,jfreechart-1.5.0,SecondTest.testGetSerialIndex,2,0,0,0,0,4,61,0,0,0,13,35,7,6,256,41,11,230
13686,jfreechart-1.5.0,XYErrorRendererTest.testEquals,11,0,0,0,0,23,239,0,0,10,70,141,7,19,1097,172,9,821
13687,jfreechart-1.5.0,SimpleTimePeriodTest.testClone,1,0,0,0,0,2,28,0,0,0,7,18,8,7,146,24,9,187
13688,jfreechart-1.5.0,SlidingGanttCategoryDatasetTest.testSerialization,3,0,0,0,0,13,170,0,0,2,40,96,8,22,764,133,9,673
13689,jfreechart-1.5.0,PeriodAxisTest.testEquals,22,0,0,0,0,47,470,0,0,22,142,275,8,33,2692,348,13,1688
13690,jfreechart-1.5.0,StandardXYToolTipGeneratorTest.testCloning,3,0,0,0,1,5,54,0,0,3,16,35,7,10,240,43,9,307
13691,jfreechart-1.5.0,XYBlockRendererTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,211
13692,jfreechart-1.5.0,HighLowItemLabelGeneratorTest.testEquals,6,0,0,0,0,12,150,0,0,6,37,87,8,12,650,113,11,733
13693,jfreechart-1.5.0,HashUtilsTest.testHashCodeForDoubleArray,2,0,0,0,0,8,87,0,0,1,25,40,7,12,387,73,9,361
13694,jfreechart-1.5.0,MarkerTest.testGetSetLabelOffsetType,5,0,1,0,0,8,99,0,0,0,35,59,8,17,417,76,14,555
13695,jfreechart-1.5.0,XYSeriesTest.testEquals,6,0,0,0,0,14,130,0,0,6,43,77,7,10,537,95,9,426
13696,jfreechart-1.5.0,OHLCSeriesTest.testClear,5,0,0,0,0,10,90,0,0,0,31,53,7,14,356,65,9,317
13697,jfreechart-1.5.0,TimeSeriesTest.testGetDataItem2,2,0,1,0,0,5,56,0,0,0,22,30,8,11,252,46,10,285
13698,jfreechart-1.5.0,RendererUtilsTest.testFindLiveItemsLowerBound_Unordered,16,0,0,0,0,22,435,0,0,0,67,227,8,8,1856,270,9,1516
13699,jfreechart-1.5.0,TimeSeriesTest.testGetDataItem1,4,0,3,0,0,13,141,0,0,0,58,74,8,15,645,115,12,546
13700,jfreechart-1.5.0,MovingAverageTest.test1,8,0,0,0,0,17,191,0,0,0,52,112,7,14,804,133,10,783
13701,jfreechart-1.5.0,HMSNumberFormatTest.testGeneral,6,0,0,0,0,7,82,0,0,0,22,49,7,6,299,57,8,357
13702,jfreechart-1.5.0,PieSectionEntityTest.testSerialization,1,0,0,0,0,3,58,0,0,0,10,34,9,11,284,43,9,302
13703,jfreechart-1.5.0,StatisticsTest.testCorrelation2,1,0,0,0,0,44,485,0,0,0,133,304,8,10,2855,402,14,1242
13704,jfreechart-1.5.0,StatisticsTest.testCorrelation1,1,0,0,0,0,10,111,0,0,0,31,66,8,10,522,96,14,345
13705,jfreechart-1.5.0,TaskSeriesCollectionTest.testRemove,4,0,2,0,0,13,129,0,0,0,52,69,8,16,570,102,12,448
13706,jfreechart-1.5.0,MarkerTest.testGetSetStroke,5,0,1,0,0,8,105,0,0,0,35,59,8,15,431,79,14,469
13707,jfreechart-1.5.0,XYSeriesTest.testSetKey,3,0,1,0,0,16,142,0,0,0,56,78,7,15,598,108,9,443
13708,jfreechart-1.5.0,StandardXYItemRendererTest.testEquals,21,0,0,0,0,43,401,0,0,20,130,239,8,25,2227,288,9,1397
13709,jfreechart-1.5.0,AbstractCategoryItemRendererTest.testCloning_LegendItemLabelGenerator,4,0,0,0,1,8,85,0,0,4,25,53,7,14,368,67,9,513
13710,jfreechart-1.5.0,StandardXYSeriesLabelGeneratorTest.testHashCode,2,0,0,0,0,4,43,0,0,2,13,26,7,8,183,34,9,279
13711,jfreechart-1.5.0,DefaultMultiValueCategoryDatasetTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,279
13712,jfreechart-1.5.0,XYIntervalDataItemTest.testEquals,14,0,0,0,0,28,396,0,0,14,85,227,7,8,1934,271,11,1352
13713,jfreechart-1.5.0,TaskSeriesCollectionTest.testSerialization,1,0,0,0,0,11,154,0,0,0,34,85,8,14,682,118,9,497
13714,jfreechart-1.5.0,IntervalCategoryItemLabelGeneratorTest.testEquals,6,0,0,0,0,12,134,0,0,6,37,79,8,10,584,103,11,688
13715,jfreechart-1.5.0,DynamicDriveToolTipTagFragmentGeneratorTest.testGenerateURLFragment,2,0,0,0,0,3,38,0,0,0,10,25,7,6,162,29,9,431
13716,jfreechart-1.5.0,StandardXYSeriesLabelGeneratorTest.testSerialization,1,0,0,0,0,3,31,0,0,0,10,20,7,8,150,27,9,282
13717,jfreechart-1.5.0,CompassPlotTest.testCloning,3,0,0,0,1,5,59,0,0,3,16,38,8,11,266,47,9,275
13718,jfreechart-1.5.0,MiddlePinNeedleTest.testSerialization,1,0,0,0,0,3,33,0,0,1,10,21,7,9,156,28,9,217
13719,jfreechart-1.5.0,DateAxisTest.testJava2DToValue,8,0,0,0,0,20,267,0,0,0,61,154,8,25,1224,194,9,1000
13720,jfreechart-1.5.0,StandardPieSectionLabelGeneratorTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,279
13721,jfreechart-1.5.0,CategoryItemEntityTest.testSerialization,1,0,0,0,0,8,105,0,0,0,25,60,9,13,457,76,9,445
13722,jfreechart-1.5.0,PowerFunction2DTest.testHashCode,1,0,0,0,0,3,39,0,0,0,10,23,7,7,169,30,9,247
13723,jfreechart-1.5.0,StandardCategoryItemLabelGeneratorTest.testGenerateLabel,3,0,0,0,0,11,123,0,0,0,34,71,8,15,512,89,10,521
13724,jfreechart-1.5.0,TaskSeriesCollectionTest.testCloning,5,0,0,0,1,18,254,0,0,5,55,143,8,19,1157,190,9,738
13725,jfreechart-1.5.0,PiePlot3DTest.testEquals,6,0,0,0,0,12,106,0,0,6,37,63,7,10,432,79,9,374
13726,jfreechart-1.5.0,LineNeedleTest.testSerialization,1,0,0,0,0,3,33,0,0,1,10,21,7,9,156,28,9,197
13727,jfreechart-1.5.0,DatasetUtilsTest.testCalculatePieDatasetTotal,3,0,0,0,0,6,70,0,0,0,19,41,7,9,265,48,9,384
13728,jfreechart-1.5.0,XYErrorRendererTest.testCloning,3,0,0,0,1,6,79,0,0,3,19,50,7,15,353,60,9,341
13729,jfreechart-1.5.0,BoxAndWhiskerToolTipGeneratorTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,267
13730,jfreechart-1.5.0,DefaultStatisticalCategoryDatasetTest.testEquals,2,0,0,0,0,4,38,0,0,2,13,23,7,7,164,31,9,298
13731,jfreechart-1.5.0,DefaultIntervalCategoryDatasetTest.testEquals,3,0,0,0,0,19,316,0,0,3,58,121,8,21,1547,258,10,1106
13732,jfreechart-1.5.0,MonthTest.testDateConstructor1,4,0,0,0,0,8,114,0,0,0,25,67,8,21,474,85,9,559
13733,jfreechart-1.5.0,SlidingGanttCategoryDatasetTest.testCloning,5,0,0,0,1,15,194,0,0,5,46,112,8,22,880,150,9,725
13734,jfreechart-1.5.0,ShortTextTitleTest.testSerialization,1,0,0,0,0,3,31,0,0,0,10,20,7,8,150,27,9,212
13735,jfreechart-1.5.0,MonthTest.testDateConstructor2,4,0,0,0,0,8,114,0,0,0,25,67,8,21,474,85,9,577
13736,jfreechart-1.5.0,XYBoxAnnotationTest.testHashCode,2,0,0,0,0,6,95,0,0,1,19,55,8,15,437,71,9,372
13737,jfreechart-1.5.0,AxisSpaceTest.testHashCode,2,0,0,0,0,6,53,0,0,1,19,29,7,11,219,43,9,234
13738,jfreechart-1.5.0,XYSeriesCollectionTest.testSeriesRename,3,0,1,0,0,9,98,0,0,0,35,53,7,15,410,76,10,537
13739,jfreechart-1.5.0,XYPlotTest.testAddDomainMarker,2,0,0,0,0,8,85,0,0,0,25,51,9,18,370,67,10,402
13740,jfreechart-1.5.0,XYSeriesTest.testDelete,7,0,0,0,0,15,173,0,0,0,46,97,7,15,662,113,9,505
13741,jfreechart-1.5.0,DefaultIntervalXYDatasetTest.testGetXValue,6,0,0,0,0,7,105,0,0,0,22,61,6,8,394,68,9,382
13742,jfreechart-1.5.0,StandardBarPainterTest.testHashcode,2,0,0,0,0,6,53,0,0,1,19,29,7,11,219,43,9,270
13743,jfreechart-1.5.0,DefaultCategoryItemRendererTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,259
13744,jfreechart-1.5.0,OutlierTest.testEquals,8,0,0,0,0,16,182,0,0,8,49,109,8,12,788,133,9,584
13745,jfreechart-1.5.0,YIntervalSeriesTest.testSetMaximumItemCount,4,0,0,0,0,9,117,0,0,0,28,67,7,13,446,77,9,443
13746,jfreechart-1.5.0,DatasetUtilsTest.testIterateRangeBounds_IntervalCategoryDataset,8,0,0,0,0,24,335,0,0,0,73,185,7,11,1499,229,11,1301
13747,jfreechart-1.5.0,OHLCSeriesCollectionTest.testSerialization,1,0,0,0,0,6,65,0,0,0,19,38,7,13,286,52,9,323
13748,jfreechart-1.5.0,MatrixSeriesTest.testGetItemColumn,6,0,0,0,0,7,87,0,0,0,22,52,7,6,331,60,9,324
13749,jfreechart-1.5.0,DefaultKeyedValueDatasetTest.testCloneIndependence,3,0,0,0,1,7,81,0,0,3,22,49,8,12,346,62,9,409
13750,jfreechart-1.5.0,DatasetUtilsTest.testFindMaximumStackedRangeValue2,2,0,0,0,0,7,79,0,0,0,22,47,7,12,310,57,10,441
13751,jfreechart-1.5.0,OHLCSeriesTest.testSetMaximumItemCount,4,0,0,0,0,9,131,0,0,0,28,74,7,12,519,89,9,461
13752,jfreechart-1.5.0,DataUtilsTest.testCreateNumberArray2D,3,0,0,0,0,7,104,0,0,0,22,55,7,9,457,80,15,309
13753,jfreechart-1.5.0,MeterIntervalTest.testCloning,1,0,0,0,0,2,26,0,0,0,7,17,8,7,134,22,9,170
13754,jfreechart-1.5.0,YearTest.testNext,2,0,0,0,0,5,50,0,0,0,16,31,7,8,208,39,12,171
13755,jfreechart-1.5.0,MarkerAxisBandTest.testSerialization,1,0,0,0,0,3,41,0,0,0,10,25,7,8,195,32,9,232
13756,jfreechart-1.5.0,MinMaxCategoryRendererTest.testDrawWithNullInfo,1,0,1,0,0,1,81,0,0,0,22,41,10,16,470,63,10,482
13757,jfreechart-1.5.0,DateTickUnitTest.testHashCode,2,0,0,0,0,6,63,0,0,1,19,37,7,13,271,51,9,290
13758,jfreechart-1.5.0,DateTitleTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,187
13759,jfreechart-1.5.0,XYAreaRenderer2Test.testDrawWithNullInfo,1,0,1,0,0,1,183,0,0,0,55,98,10,19,1063,137,10,714
13760,jfreechart-1.5.0,LegendItemEntityTest.testCloning,3,0,0,0,1,5,67,0,0,3,16,43,9,12,310,52,9,305
13761,jfreechart-1.5.0,XYPlotTest.testMapDatasetToDomainAxis,2,0,0,0,0,13,130,0,0,0,40,73,7,22,568,106,8,597
13762,jfreechart-1.5.0,StandardCategoryToolTipGeneratorTest.testHashCode,2,0,0,0,0,4,43,0,0,2,13,26,7,8,183,34,9,287
13763,jfreechart-1.5.0,CategoryTableXYDatasetTest.testCloning,7,0,0,0,1,15,152,0,0,7,46,91,7,13,643,109,9,571
13764,jfreechart-1.5.0,PeriodAxisLabelInfoTest.testEquals,18,0,0,0,0,53,738,0,0,18,160,419,8,41,4507,539,11,2320
13765,jfreechart-1.5.0,DefaultOHLCDatasetTest.testDataRange,2,0,0,0,0,8,137,0,0,0,25,77,8,15,610,101,14,490
13766,jfreechart-1.5.0,XYStepRendererTest.testDrawWithNullValue,1,0,1,0,0,1,183,0,0,0,55,98,10,19,1063,137,10,690
13767,jfreechart-1.5.0,MinuteTest.testGetSerialIndex,2,0,0,0,0,4,57,0,0,0,13,33,7,6,234,39,11,222
13768,jfreechart-1.5.0,CustomXYURLGeneratorTest.testEquals,3,0,0,0,0,15,128,0,0,3,46,77,9,16,585,102,9,443
13769,jfreechart-1.5.0,TimeSeriesTest.testBug1075255,2,0,1,0,0,6,79,0,0,0,25,42,8,13,331,61,10,331
13770,jfreechart-1.5.0,PeriodAxisLabelInfoTest.testSerialization,1,0,0,0,0,3,39,0,0,0,10,24,8,10,190,33,9,276
13771,jfreechart-1.5.0,QuarterDateFormatTest.testHashCode,2,0,0,0,0,6,93,0,0,1,19,51,9,14,427,71,9,384
13772,jfreechart-1.5.0,MarkerTest.testGetSetLabelFont,5,0,1,0,0,8,123,0,0,0,35,71,8,17,515,91,14,529
13773,jfreechart-1.5.0,YearTest.testGetSerialIndex,1,0,0,0,0,2,22,0,0,0,7,14,7,6,99,17,9,141
13774,jfreechart-1.5.0,SymbolAxisTest.testCloning,3,0,0,0,1,5,65,0,0,3,16,41,9,11,304,52,9,270
13775,jfreechart-1.5.0,DefaultTableXYDatasetTest.testPublicCloneable,1,0,0,0,0,2,17,0,0,0,7,13,7,6,106,16,9,187
13776,jfreechart-1.5.0,MeterPlotTest.testSerialization2,1,0,0,0,0,3,35,0,0,0,10,22,8,9,170,30,9,216
13777,jfreechart-1.5.0,MeterPlotTest.testSerialization1,1,0,0,0,0,8,156,0,0,0,25,95,7,17,715,112,9,596
13778,jfreechart-1.5.0,TimeTableXYDatasetTest.testGetTimePeriod,3,0,0,0,0,7,103,0,0,0,22,58,7,8,403,72,9,370
13779,jfreechart-1.5.0,TableXYDatasetTest.testRemoveAllValuesForX,6,0,0,0,0,10,140,0,0,0,31,79,7,12,539,96,9,533
13780,jfreechart-1.5.0,ValueAxisTest.test3555275,1,0,0,0,0,15,174,0,0,0,46,100,8,39,807,136,9,798
13781,jfreechart-1.5.0,WeekTest.testW1Y1900Previous,1,0,0,0,0,2,21,0,0,0,7,15,8,6,123,18,9,161
13782,jfreechart-1.5.0,DayTest.testNotCloneable,1,0,0,0,0,2,22,0,0,0,7,17,7,6,144,19,9,157
13783,jfreechart-1.5.0,ClusteredXYBarRendererTest.testHashcode,2,0,0,0,0,6,53,0,0,1,19,29,7,11,219,43,9,286
13784,jfreechart-1.5.0,MatrixSeriesCollectionTest.testSerialization,1,0,0,0,0,6,61,0,0,0,19,36,7,12,265,49,9,320
13785,jfreechart-1.5.0,StandardDialFrameTest.testEquals,11,0,0,0,0,23,278,0,0,11,70,165,7,20,1285,198,9,961
13786,jfreechart-1.5.0,AreaRendererEndTypeTest.testEquals,3,0,0,0,0,3,35,0,0,0,10,27,6,7,157,28,7,265
13787,jfreechart-1.5.0,BoxAndWhiskerToolTipGeneratorTest.testHashCode,2,0,0,0,0,4,43,0,0,2,13,26,7,8,183,34,9,275
13788,jfreechart-1.5.0,SecondTest.testGetFirstMillisecondWithTimeZone,2,0,1,0,0,7,88,0,0,0,28,49,9,16,402,71,10,419
13789,jfreechart-1.5.0,AreaRendererTest.testCloning,3,0,0,0,1,5,54,0,0,3,16,35,7,10,240,43,9,251
13790,jfreechart-1.5.0,DatasetUtilsTest.testJava,2,0,0,0,0,2,40,0,0,0,7,27,8,9,183,27,7,181
13791,jfreechart-1.5.0,DataUtilsTest.testCalculateRowTotal,3,0,0,0,0,9,129,0,0,0,28,72,7,11,499,86,9,524
13792,jfreechart-1.5.0,CategoryLabelEntityTest.testSerialization,1,0,0,0,0,3,49,0,0,0,10,30,9,10,238,38,9,285
13793,jfreechart-1.5.0,StandardDialFrameTest.testHashCode,2,0,0,0,0,6,53,0,0,1,19,29,7,11,219,43,9,266
13794,jfreechart-1.5.0,DefaultCategoryDatasetTest.testGetValue2,1,0,1,0,0,4,43,0,0,0,19,22,8,9,199,36,10,233
13795,jfreechart-1.5.0,TimeSeriesChartTest.testReplaceDataset,3,0,0,0,0,14,150,0,0,0,43,91,8,27,662,119,11,687
13796,jfreechart-1.5.0,YIntervalSeriesCollectionTest.testRemoveSeries,3,0,2,0,0,12,113,0,0,0,49,60,8,14,506,92,12,467
13797,jfreechart-1.5.0,GridArrangementTest.testCloning,1,0,0,0,0,2,20,0,0,0,7,14,7,6,106,18,9,145
13798,jfreechart-1.5.0,CombinedDomainCategoryPlotTest.testRemoveSubplot,2,0,0,0,0,9,79,0,0,1,28,46,7,16,333,64,9,359
13799,jfreechart-1.5.0,XYIntervalSeriesCollectionTest.testSerialization,3,0,0,0,0,9,98,0,0,2,28,57,7,15,419,75,9,475
13800,jfreechart-1.5.0,XYShapeRendererTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,211
13801,jfreechart-1.5.0,RangeTest.testCombineIgnoringNaN,8,0,0,0,0,14,185,0,0,0,43,107,7,16,771,134,10,677
13802,jfreechart-1.5.0,StackedBarRendererTest.testSerialization,1,0,0,0,0,3,30,0,0,0,10,19,7,8,144,26,9,223
13803,jfreechart-1.5.0,GradientBarPainterTest.testCloning,2,0,0,0,0,3,29,0,0,0,10,20,7,7,151,26,9,259
13804,jfreechart-1.5.0,DefaultBoxAndWhiskerXYDatasetTest.testConstructor,4,0,0,0,0,5,64,0,0,0,16,39,7,12,252,45,9,350
13805,jfreechart-1.5.0,CategoryPlotTest.test1654215,1,0,1,0,0,5,130,0,0,0,32,71,10,28,658,99,10,653
13806,jfreechart-1.5.0,DataUtilsTest.testEqual,17,0,0,0,0,34,406,0,0,0,103,243,7,12,2106,307,14,1076
13807,jfreechart-1.5.0,DateTickTest.testEquals,13,0,0,0,0,34,482,0,0,13,103,305,8,24,2631,370,11,1264
13808,jfreechart-1.5.0,HourTest.testEquals,1,0,0,0,0,3,54,0,0,1,10,33,8,10,259,42,9,206
13809,jfreechart-1.5.0,XYPlotTest.test1654215,1,0,1,0,0,5,130,0,0,0,32,71,10,28,658,99,10,633
13810,jfreechart-1.5.0,StandardCategoryToolTipGeneratorTest.testEquals,8,0,0,0,0,16,182,0,0,8,49,107,8,10,818,139,11,853
13811,jfreechart-1.5.0,DatasetUtilsTest.testLimitPieDataset,10,0,0,0,0,18,209,0,0,0,55,121,7,14,863,143,10,792
13812,jfreechart-1.5.0,RendererUtilsTest.test3561093,4,0,0,0,0,12,138,0,0,0,37,77,7,14,569,97,10,545
13813,jfreechart-1.5.0,YIntervalTest.testEquals,7,0,0,0,0,15,167,0,0,6,46,99,7,9,729,124,11,531
13814,jfreechart-1.5.0,KeyToGroupMapTest.testKeyCount,8,0,0,0,0,18,188,0,0,0,55,109,7,7,771,128,9,774
13815,jfreechart-1.5.0,DialValueIndicatorTest.testEquals,29,0,0,0,0,59,682,0,0,29,178,407,7,35,4139,484,9,2172
13816,jfreechart-1.5.0,AreaRendererEndTypeTest.testSerialization,2,0,0,0,0,5,43,0,0,0,16,28,7,10,200,38,9,271
13817,jfreechart-1.5.0,XYStepRendererTest.testCloning,3,0,0,0,1,5,54,0,0,3,16,35,7,10,240,43,9,259
13818,jfreechart-1.5.0,MillisecondTest.testNext,8,0,0,0,0,11,200,0,0,0,34,109,9,14,774,123,12,600
13819,jfreechart-1.5.0,XYSeriesTest.testGetMaxY2,2,0,0,0,0,7,77,0,0,0,22,44,7,8,291,52,9,350
13820,jfreechart-1.5.0,CategoryStepRendererTest.testCloning,3,0,0,0,1,5,55,0,0,3,16,36,7,10,246,44,9,288
13821,jfreechart-1.5.0,XYPlotTest.testRemoveRangeMarker,1,0,0,0,0,2,24,0,0,0,7,15,8,7,118,19,9,189
13822,jfreechart-1.5.0,HighLowRendererTest.testPublicCloneable,1,0,0,0,0,2,17,0,0,0,7,13,7,6,106,16,9,175
13823,jfreechart-1.5.0,ThermometerPlotTest.testEquals,32,0,0,0,0,65,773,0,0,32,196,460,7,38,4857,546,9,2430
13824,jfreechart-1.5.0,DatasetUtilsTest.testIterateRangeBounds3_CategoryDataset,4,0,0,0,0,21,288,0,0,0,64,171,8,16,1356,225,14,878
13825,jfreechart-1.5.0,KeyedObjects2DTest.testEquals,4,0,0,0,0,8,88,0,0,4,25,51,7,10,354,65,9,323
13826,jfreechart-1.5.0,XYBubbleRendererTest.testEquals,3,0,0,0,0,7,65,0,0,2,22,41,7,10,287,54,11,361
13827,jfreechart-1.5.0,CrosshairOverlayTest.testSerialization,1,0,0,0,0,5,78,0,0,0,16,46,8,16,360,59,9,378
13828,jfreechart-1.5.0,XYErrorRendererTest.testFindDomainBounds,1,0,0,0,0,2,20,0,0,0,7,13,7,6,94,16,9,161
13829,jfreechart-1.5.0,DefaultCategoryDatasetTest.testGetColumnCount,5,0,0,0,0,10,109,0,0,5,31,66,7,8,436,77,9,408
13830,jfreechart-1.5.0,StandardXYBarPainterTest.testHashcode,2,0,0,0,0,6,53,0,0,1,19,29,7,11,219,43,9,278
13831,jfreechart-1.5.0,XIntervalSeriesTest.testGetXHighValue,2,0,0,0,0,5,65,0,0,0,16,38,7,8,255,44,9,256
13832,jfreechart-1.5.0,MinMaxCategoryRendererTest.testPublicCloneable,1,0,0,0,0,2,17,0,0,0,7,12,7,6,93,16,9,181
13833,jfreechart-1.5.0,XYErrorRendererTest.testCloning2,3,0,0,0,1,6,65,0,0,3,19,41,7,12,282,51,9,296
13834,jfreechart-1.5.0,OHLCSeriesTest.testHashcode,2,0,0,0,0,8,93,0,0,1,25,51,7,13,386,69,9,326
13835,jfreechart-1.5.0,RangeTest.testExpand,6,0,1,0,0,10,141,0,0,0,38,79,7,12,570,99,11,465
